19:00:44 - 開始處理語言: zh-MO
19:00:44 - 目標業態: enterprises, public_sector, training_institutions
19:00:44 - 來源檔案: i18n_output/zh-MO_tobemodified.xlsx
19:00:44 - 開始讀取 Excel 檔案: i18n_output/zh-MO_tobemodified.xlsx
19:00:44 - 發現欄位: ['檔案類型', '檔案路徑', '項目ID', '項目內容', '敏感詞', '敏感詞分類', '企業_替換方案', '企業_替換結果', '公部門_替換方案', '公部門_替換結果', '培訓機構_替換方案', '培訓機構_替換結果']
19:00:44 - 開始解析 Excel 修正資料
19:00:44 - 跳過空白替換結果 - 企業: Student
19:00:44 - 跳過空白替換結果 - 公部門: Student
19:00:44 - 跳過空白替換結果 - 培訓機構: Student
19:00:44 - 跳過空白替換結果 - 企業: Instructor
19:00:44 - 跳過空白替換結果 - 公部門: Instructor
19:00:44 - 跳過空白替換結果 - 培訓機構: Instructor
19:00:44 - 跳過空白替換結果 - 企業: 添加學期
19:00:44 - 跳過空白替換結果 - 公部門: 添加學期
19:00:44 - 跳過空白替換結果 - 培訓機構: 添加學期
19:00:44 - 跳過空白替換結果 - 企業: 添加班級
19:00:44 - 跳過空白替換結果 - 公部門: 添加班級
19:00:44 - 跳過空白替換結果 - 培訓機構: 添加班級
19:00:44 - 跳過空白替換結果 - 企業: attachment_edit_allow_download
19:00:44 - 跳過空白替換結果 - 公部門: attachment_edit_allow_download
19:00:44 - 跳過空白替換結果 - 培訓機構: attachment_edit_allow_download
19:00:44 - 跳過空白替換結果 - 企業: 分組測驗只有小組成員可以繳交，每個小組繳交一份測驗並得到同一個成績，老師可個別調整
19:00:44 - 跳過空白替換結果 - 公部門: 分組測驗只有小組成員可以繳交，每個小組繳交一份測驗並得到同一個成績，老師可個別調整
19:00:44 - 跳過空白替換結果 - 培訓機構: 分組測驗只有小組成員可以繳交，每個小組繳交一份測驗並得到同一個成績，老師可個別調整
19:00:44 - 跳過空白替換結果 - 企業: 課程代碼 / 課程名稱 / 教師姓名 / 教師帳號 / Email
19:00:44 - 跳過空白替換結果 - 公部門: 課程代碼 / 課程名稱 / 教師姓名 / 教師帳號 / Email
19:00:44 - 跳過空白替換結果 - 培訓機構: 課程代碼 / 課程名稱 / 教師姓名 / 教師帳號 / Email
19:00:44 - 跳過空白替換結果 - 企業: 課程代碼 / 課程名稱 / 教師姓名
19:00:44 - 跳過空白替換結果 - 公部門: 課程代碼 / 課程名稱 / 教師姓名
19:00:44 - 跳過空白替換結果 - 培訓機構: 課程代碼 / 課程名稱 / 教師姓名
19:00:44 - 跳過空白替換結果 - 企業: 非本課程修課學生
19:00:44 - 跳過空白替換結果 - 公部門: 非本課程修課學生
19:00:44 - 跳過空白替換結果 - 培訓機構: 非本課程修課學生
19:00:44 - 跳過空白替換結果 - 企業: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:44 - 跳過空白替換結果 - 公部門: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:44 - 跳過空白替換結果 - 培訓機構: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:44 - 跳過空白替換結果 - 企業: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:44 - 跳過空白替換結果 - 公部門: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:44 - 跳過空白替換結果 - 培訓機構: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:44 - 跳過空白替換結果 - 企業: 複製公告內容到其他課程。教師編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:44 - 跳過空白替換結果 - 公部門: 複製公告內容到其他課程。教師編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:44 - 跳過空白替換結果 - 培訓機構: 複製公告內容到其他課程。教師編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:44 - 跳過空白替換結果 - 企業: 進階式課程適用於有清晰的章節結構，課程內容較為復雜，學習時程較長的課程，這類課程將大量復雜的內容以巧妙的結構組織起來，方便學生系統性、有計劃地進行學習。
19:00:44 - 跳過空白替換結果 - 公部門: 進階式課程適用於有清晰的章節結構，課程內容較為復雜，學習時程較長的課程，這類課程將大量復雜的內容以巧妙的結構組織起來，方便學生系統性、有計劃地進行學習。
19:00:44 - 跳過空白替換結果 - 培訓機構: 進階式課程適用於有清晰的章節結構，課程內容較為復雜，學習時程較長的課程，這類課程將大量復雜的內容以巧妙的結構組織起來，方便學生系統性、有計劃地進行學習。
19:00:44 - 跳過空白替換結果 - 企業: 由教務系統匯入的課程或者教師新建的課程，皆預設為一般課程。
19:00:44 - 跳過空白替換結果 - 公部門: 由教務系統匯入的課程或者教師新建的課程，皆預設為一般課程。
19:00:44 - 跳過空白替換結果 - 培訓機構: 由教務系統匯入的課程或者教師新建的課程，皆預設為一般課程。
19:00:44 - 跳過空白替換結果 - 企業: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
19:00:44 - 跳過空白替換結果 - 公部門: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
19:00:44 - 跳過空白替換結果 - 培訓機構: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
19:00:44 - 跳過空白替換結果 - 企業: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
19:00:44 - 跳過空白替換結果 - 公部門: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
19:00:44 - 跳過空白替換結果 - 培訓機構: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
19:00:44 - 跳過空白替換結果 - 企業: 教師所屬系所
19:00:44 - 跳過空白替換結果 - 公部門: 教師所屬系所
19:00:44 - 跳過空白替換結果 - 培訓機構: 教師所屬系所
19:00:44 - 跳過空白替換結果 - 企業: activity-prompt-info.homework_exam
19:00:44 - 跳過空白替換結果 - 公部門: activity-prompt-info.homework_exam
19:00:44 - 跳過空白替換結果 - 培訓機構: activity-prompt-info.homework_exam
19:00:44 - 跳過空白替換結果 - 企業: 尚無學生加入此課程
19:00:44 - 跳過空白替換結果 - 公部門: 尚無學生加入此課程
19:00:44 - 跳過空白替換結果 - 培訓機構: 尚無學生加入此課程
19:00:44 - 跳過空白替換結果 - 企業: 學生看到的課程效果
19:00:44 - 跳過空白替換結果 - 公部門: 學生看到的課程效果
19:00:44 - 跳過空白替換結果 - 培訓機構: 學生看到的課程效果
19:00:44 - 跳過空白替換結果 - 企業: 預覽功能可以看到學生瀏覽課程的效果，您可以查看並以此在返回后去調整課程資訊。
19:00:44 - 跳過空白替換結果 - 公部門: 預覽功能可以看到學生瀏覽課程的效果，您可以查看並以此在返回后去調整課程資訊。
19:00:44 - 跳過空白替換結果 - 培訓機構: 預覽功能可以看到學生瀏覽課程的效果，您可以查看並以此在返回后去調整課程資訊。
19:00:44 - 跳過空白替換結果 - 企業: 老師可以根據教學策略創建不同的分組方案，將課程的學生劃分為若干小組，實現不同場景使用不同分組方案，快來試試看吧!
19:00:44 - 跳過空白替換結果 - 公部門: 老師可以根據教學策略創建不同的分組方案，將課程的學生劃分為若干小組，實現不同場景使用不同分組方案，快來試試看吧!
19:00:44 - 跳過空白替換結果 - 培訓機構: 老師可以根據教學策略創建不同的分組方案，將課程的學生劃分為若干小組，實現不同場景使用不同分組方案，快來試試看吧!
